::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857751245 HTTP/1.1 200 65 - 215.877 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857751470 HTTP/1.1 200 48 - 1.893 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857752245 HTTP/1.1 200 65 - 83.229 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857752332 HTTP/1.1 200 48 - 0.539 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857753245 HTTP/1.1 200 65 - 236.802 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857753487 HTTP/1.1 200 48 - 0.633 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857754245 HTTP/1.1 200 65 - 81.746 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857754333 HTTP/1.1 200 48 - 0.713 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857755246 HTTP/1.1 200 65 - 92.868 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857755348 HTTP/1.1 200 48 - 0.857 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857756246 HTTP/1.1 200 65 - 223.085 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857756486 HTTP/1.1 200 48 - 1.895 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857757244 HTTP/1.1 200 1469 - 105.643 ms
::1 - GET /api/adminCenter/getUserCorpAuthMulti?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857757428 HTTP/1.1 200 764 - 113.615 ms
::1 - GET /api/adminCenter/logout?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857762678 HTTP/1.1 200 42 - 379.665 ms
::1 - GET /api/adminUser/getTmpQrcode?platformType=3&qrcodeType=TMPQRCODE_LOGIN_SESSIONID&expireSeconds=6000&appAccountId=0&sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857763070 HTTP/1.1 200 265 - 1389.470 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857764072 HTTP/1.1 200 65 - 604.334 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857764683 HTTP/1.1 200 48 - 0.894 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857765072 HTTP/1.1 200 65 - 226.289 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857765312 HTTP/1.1 200 48 - 1.072 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857766071 HTTP/1.1 200 65 - 309.562 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857766385 HTTP/1.1 200 48 - 0.558 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857767071 HTTP/1.1 200 65 - 145.675 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857767223 HTTP/1.1 200 48 - 1.153 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857768071 HTTP/1.1 200 65 - 203.039 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857768285 HTTP/1.1 200 48 - 1.661 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857769071 HTTP/1.1 200 65 - 309.579 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857769390 HTTP/1.1 200 48 - 3.534 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857770071 HTTP/1.1 200 65 - 225.500 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857770305 HTTP/1.1 200 48 - 1.184 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857771072 HTTP/1.1 200 65 - 88.008 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857771170 HTTP/1.1 200 48 - 0.752 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857772073 HTTP/1.1 200 65 - 174.995 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857772256 HTTP/1.1 200 48 - 0.663 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857773072 HTTP/1.1 200 65 - 588.835 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857773670 HTTP/1.1 200 48 - 1.243 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857774073 HTTP/1.1 200 65 - 278.220 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857774361 HTTP/1.1 200 48 - 2.727 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857775071 HTTP/1.1 200 65 - 205.026 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857775289 HTTP/1.1 200 48 - 1.630 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857776073 HTTP/1.1 200 65 - 236.313 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857776329 HTTP/1.1 200 48 - 1.617 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857777071 HTTP/1.1 200 65 - 203.474 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857777281 HTTP/1.1 200 48 - 0.572 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857778071 HTTP/1.1 200 65 - 203.519 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857778285 HTTP/1.1 200 48 - 1.327 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857779073 HTTP/1.1 200 65 - 244.925 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857779324 HTTP/1.1 200 48 - 1.171 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857780071 HTTP/1.1 200 65 - 704.303 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857780786 HTTP/1.1 200 48 - 1.512 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857781072 HTTP/1.1 200 65 - 218.731 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857781303 HTTP/1.1 200 48 - 1.708 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857782071 HTTP/1.1 200 65 - 224.079 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857782306 HTTP/1.1 200 48 - 1.924 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857783071 HTTP/1.1 200 65 - 210.612 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857783293 HTTP/1.1 200 48 - 1.011 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857784071 HTTP/1.1 200 65 - 551.969 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857784636 HTTP/1.1 200 48 - 1.581 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857785073 HTTP/1.1 200 65 - 518.871 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857785602 HTTP/1.1 200 48 - 1.028 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857786072 HTTP/1.1 200 65 - 210.711 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857786292 HTTP/1.1 200 48 - 0.995 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857787072 HTTP/1.1 200 65 - 232.994 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857787316 HTTP/1.1 200 48 - 1.281 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857788072 HTTP/1.1 200 65 - 284.804 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857788364 HTTP/1.1 200 48 - 0.566 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857789072 HTTP/1.1 200 65 - 233.687 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857789316 HTTP/1.1 200 48 - 1.028 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857790070 HTTP/1.1 200 65 - 137.702 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857790214 HTTP/1.1 200 48 - 0.648 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857791071 HTTP/1.1 200 65 - 207.624 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857791287 HTTP/1.1 200 48 - 1.457 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857792071 HTTP/1.1 200 65 - 208.990 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857792287 HTTP/1.1 200 48 - 0.654 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857793071 HTTP/1.1 200 65 - 86.822 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857793166 HTTP/1.1 200 48 - 1.222 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857794072 HTTP/1.1 200 65 - 230.949 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857794320 HTTP/1.1 200 48 - 1.722 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857795072 HTTP/1.1 200 65 - 214.554 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857795296 HTTP/1.1 200 48 - 0.811 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857796071 HTTP/1.1 200 65 - 205.088 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857796285 HTTP/1.1 200 48 - 1.154 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857797072 HTTP/1.1 200 65 - 706.863 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857797788 HTTP/1.1 200 48 - 1.097 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857798072 HTTP/1.1 200 65 - 227.017 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857798306 HTTP/1.1 200 48 - 1.038 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857799071 HTTP/1.1 200 65 - 222.413 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857799302 HTTP/1.1 200 48 - 0.910 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857800072 HTTP/1.1 200 65 - 88.498 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857800167 HTTP/1.1 200 48 - 0.549 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857801071 HTTP/1.1 200 65 - 107.250 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857801186 HTTP/1.1 200 48 - 0.667 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857802072 HTTP/1.1 200 65 - 334.468 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857802417 HTTP/1.1 200 48 - 1.569 ms
::1 - GET /api/adminUser/getSession?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857803072 HTTP/1.1 200 65 - 188.294 ms
::1 - GET /getSessionId?sessionId=eknwMCafJojWwr6xUaQQ-DlidrTEXDHB&timestamp=1534857803272 HTTP/1.1 200 48 - 1.533 ms
